Product line,Total
Health and beauty,548.9715
Electronic accessories,80.22
Home and lifestyle,340.5255
Health and beauty,489.048
Sports and travel,634.3785
Electronic accessories,627.6165
Electronic accessories,433.692
Home and lifestyle,772.38
Health and beauty,76.146
Food and beverages,172.746
Fashion accessories,60.816
Electronic accessories,107.142
Electronic accessories,246.4875
Food and beverages,453.495
Health and beauty,749.49
Sports and travel,590.436
Health and beauty,506.6355
Sports and travel,457.443
Food and beverages,172.2105
Home and lifestyle,84.63
Electronic accessories,451.71
Health and beauty,277.137
Home and lifestyle,69.72
Electronic accessories,181.44
Sports and travel,279.1845
Home and lifestyle,441.756
Fashion accessories,35.196
Fashion accessories,184.107
Food and beverages,463.89
Health and beauty,235.2105
Fashion accessories,494.1825
Sports and travel,737.7615
Sports and travel,703.752
Health and beauty,202.818
Food and beverages,417.564
Sports and travel,71.526
Sports and travel,328.755
Electronic accessories,575.316
Health and beauty,461.328
Home and lifestyle,253.008
Home and lifestyle,91.056
Home and lifestyle,117.831
Sports and travel,435.456
Food and beverages,829.08
Health and beauty,32.277
Electronic accessories,394.632
Health and beauty,535.7205
Food and beverages,189.0945
Electronic accessories,119.259
Fashion accessories,867.615
Food and beverages,671.79
Food and beverages,234.0975
Fashion accessories,75.054
Fashion accessories,16.2015
Home and lifestyle,33.936
Electronic accessories,722.232
Home and lifestyle,93.114
Health and beauty,752.64
Home and lifestyle,759.675
Electronic accessories,192.843
Sports and travel,77.931
Home and lifestyle,351.099
Sports and travel,520.4115
Sports and travel,166.005
Health and beauty,318.108
Health and beauty,166.635
Health and beauty,70.287
Fashion accessories,614.943
Sports and travel,827.085
Health and beauty,19.2465
Food and beverages,939.54
Fashion accessories,652.26
Food and beverages,152.838
Electronic accessories,478.233
Home and lifestyle,705.6315
Electronic accessories,437.325
Fashion accessories,463.428
Fashion accessories,189.0945
Food and beverages,822.255
Health and beauty,106.995
Health and beauty,624.897
Food and beverages,304.542
Food and beverages,161.7
Food and beverages,337.512
Sports and travel,256.7775
Sports and travel,610.491
Fashion accessories,401.73
Food and beverages,362.943
Sports and travel,44.5935
Health and beauty,485.037
Home and lifestyle,198.996
Sports and travel,471.03
Sports and travel,161.553
Health and beauty,608.202
Health and beauty,94.2375
Electronic accessories,102.018
Health and beauty,922.635
Electronic accessories,78.435
Food and beverages,166.1625
Home and lifestyle,521.01
Fashion accessories,51.1455
Fashion accessories,742.2975
Electronic accessories,218.0115
Food and beverages,367.038
Health and beauty,223.0725
Electronic accessories,931.035
Fashion accessories,172.494
Sports and travel,391.419
Food and beverages,321.111
